epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,787.348,0.64091,0.4083,0.84437,0.96264,0.96436,0.98962,0.8949,0.47451,0.29904,0.80314,0.00592686,0.00592686,0.00592686
146,792.726,0.63467,0.40295,0.84304,0.96156,0.94088,0.97913,0.88053,0.47647,0.31053,0.80341,0.00589857,0.00589857,0.00589857
147,798.53,0.62527,0.397,0.83998,0.95565,0.96113,0.98673,0.88941,0.48461,0.30154,0.80312,0.00587029,0.00587029,0.00587029
148,804.43,0.62584,0.40065,0.84082,0.96808,0.96691,0.98975,0.90199,0.4632,0.29463,0.79942,0.005842,0.005842,0.005842
149,809.858,0.61522,0.39697,0.83803,0.95746,0.94312,0.98252,0.88991,0.45826,0.30791,0.79935,0.00581371,0.00581371,0.00581371
150,815.157,0.63527,0.40591,0.84338,0.95477,0.95148,0.98811,0.8873,0.48788,0.31382,0.80406,0.00578543,0.00578543,0.00578543
151,820.48,0.62923,0.41129,0.84395,0.96527,0.94624,0.9879,0.89194,0.47073,0.30851,0.80261,0.00575714,0.00575714,0.00575714
152,825.844,0.62366,0.40299,0.83862,0.97193,0.98149,0.99083,0.88795,0.49395,0.30541,0.80452,0.00572886,0.00572886,0.00572886
153,831.49,0.63106,0.40306,0.84419,0.95051,0.96263,0.98473,0.88257,0.48082,0.31783,0.80345,0.00570057,0.00570057,0.00570057
154,837.05,0.62702,0.40095,0.84101,0.95799,0.97105,0.98921,0.89722,0.48305,0.30368,0.80252,0.00567229,0.00567229,0.00567229
155,842.371,0.63006,0.39845,0.83965,0.96275,0.97196,0.98844,0.90125,0.45266,0.29164,0.79875,0.005644,0.005644,0.005644
156,847.637,0.61052,0.39037,0.83816,0.96868,0.96657,0.98876,0.89897,0.45344,0.29024,0.80027,0.00561571,0.00561571,0.00561571
157,853.137,0.60584,0.38144,0.83779,0.97811,0.95294,0.98777,0.89097,0.46935,0.29681,0.80065,0.00558743,0.00558743,0.00558743
158,858.581,0.63431,0.40043,0.84517,0.97953,0.94357,0.98691,0.88981,0.47993,0.30083,0.80191,0.00555914,0.00555914,0.00555914
159,863.872,0.6275,0.39543,0.8437,0.96949,0.95612,0.98661,0.89213,0.47309,0.29527,0.80165,0.00553086,0.00553086,0.00553086
160,869.048,0.62792,0.39427,0.84252,0.96252,0.93654,0.97687,0.88089,0.4757,0.31839,0.80357,0.00550257,0.00550257,0.00550257
161,874.361,0.62658,0.3948,0.84109,0.95762,0.95607,0.98577,0.89303,0.46981,0.30459,0.80208,0.00547429,0.00547429,0.00547429
162,879.61,0.63328,0.39697,0.84755,0.97033,0.96366,0.98916,0.89621,0.46303,0.29079,0.79956,0.005446,0.005446,0.005446
163,884.741,0.61778,0.38568,0.83889,0.97224,0.96239,0.98944,0.90031,0.45712,0.29343,0.79898,0.00541771,0.00541771,0.00541771
164,889.805,0.61625,0.39141,0.8385,0.955,0.97237,0.98789,0.89682,0.45628,0.29602,0.79898,0.00538943,0.00538943,0.00538943
165,895.036,0.61405,0.39317,0.83906,0.95528,0.97095,0.98942,0.89672,0.47002,0.29744,0.8006,0.00536114,0.00536114,0.00536114
166,900.203,0.62192,0.39307,0.84174,0.96468,0.97153,0.99052,0.89823,0.47327,0.29851,0.80129,0.00533286,0.00533286,0.00533286
167,905.561,0.6181,0.39123,0.83635,0.96965,0.96433,0.98875,0.89811,0.45855,0.29221,0.79987,0.00530457,0.00530457,0.00530457
168,910.722,0.60832,0.39165,0.8424,0.97935,0.96814,0.99074,0.899,0.46853,0.28756,0.80051,0.00527629,0.00527629,0.00527629
169,915.887,0.60152,0.38211,0.83504,0.97396,0.95803,0.98896,0.90011,0.46417,0.29283,0.7983,0.005248,0.005248,0.005248
